stars,text
4,The best pizza in St. Pauli is clearly made by Pauli Pizza.At this tiny little spot near Reeperbahn you can create your own pizza by choosing your fave ingredients off the menu. Distinguish between sizes small and normal.Thankfully everyone even on a budget will get fed there for little money. The prices are low and the pizzas are great all the same. Whatta treat!The chatty staff are funny guys very willing to help you out if you don't know what else to top up the base with. I recommend this down-to-earth place at any hour of the day :)
4,After sitting here a full sunday afternoon recovering from the night before this place really showed its merits. The music was perfect sunday chill music and the choise between strong and normal apple cider was a true blessing.
4,"Do you like cars? Of course you like cars! You HAVE to see this place! The gorgeous, show-room style exhibition place is fantastic and features cards from a multitude of decades, including video installations, toy/marketing products on show and a porsche simulator! Yes, you get to sit in a Porsche and drive it around the Nueremburgring. How fantastic is that!Definitely a must for every car lover and even those with just a mild interest, it's just so beautiful and well presented.Do not miss the second, temporary exhibit downstairs! It's in a separate space, so it's easy to miss. As it's a changing exhibit, I can't say what they'll be showing off when you get to go, but it's always intersting and really well done. So be sure to check it out."
3,Cafe Mexico is a nice little Mexican restaurant just to the north of the Schanze. I had the chilli con carne burrito and was quite surprised when something that I would have recognised as enchiladas was presented to me. Definitely different to the Americanised burrito places that are starting to pop-up around Hamburg. If you like tequila then (I assume) this is definitely a place to visit seeing as they have about 100 different types A nice touch is the complementary shot of tequila before you leave.
4,"It is a hidden gem. One of the best restaurant in Hamburg. Very high quality food with a creative touch, yet affordable. Prepair to wait for at least 30 min. to get a table."
4,"We found La Trattoria on Yelp, and decided to drive over for a Saturday lunch outing. It was a rainy summer day, but the restaurant was open to the air, and an awning covered a few tables that were outside on the sidewalk.La Trattoria has a fairly standard bound Italian restaurant menu (antipasti, pastas, pizzas), then they have a chalkboard of what must be seasonal specials (or just recommendations) for lunch, and then there's a second chalkboard of daily specials. The waiter (who seemed like he must also be the manager) was friendly and got us a seat right away, tried a few jokes with our daughter, and was patient explaining the options.My wife had the cheese-filled ravioli with truffle cream sauce, which was excellent. There were seven or eight good-sized ravioli filled with some kind of firm-ish cheese, and covered in a very decadent truffle cream sauce. I ordered the daily special of chanterelles in a cream sauce over homemade papardelle; it was incredibly good. Lots of mushrooms, good portion size, and tons of flavor in every bite. Being six, our daughter ordered spaghetti with tomato sauce, and managed to eat about half of the giant ""kids"" portion (which she finished with gusto at home the next day).We also ordered tiramisu and tartufo for dessert. The tartufo was just okay, but the tiramisu was quite good. Overall, we loved our experience here, and will definitely be back."
4,"I am always a little nervous about engaging with vegetarian food, but this has definitely altered my perspective. Delicious falafel dishes and good beer options make this the perfect place to settle into for an early evening meal. The food came really quickly, was well priced and the atmosphere in here is very relaxed. Although I haven't yet sampled the pleasures of the takeaway, I was glad to see they do this. Living locally, I will definitely be taking advantage of the takeaway dishes on offer."
3,Great atmosphere. Fresh food. Good service. Bustling. Reservations recommended but helpful to get seated if not. Smaller menu selection. Menu changed weekly.
4,"I am so happy finding this place through windy day of Hamburg. Despite of its small space and no chair, their food is super satisfying. That day, they only sold two choices of dishes: spaghetti (€7) and lasagna (€12). I ordered spaghetti topped with sorta white fish and tomato sauce. It came with big portion for my late lunch. The fish topping was generous and its sauce is pretty good, not too sour. You can choose some of beverages served. I ordered ingwer-minze-tee because I need hot beverage to reduce the windy effect to my body. I think I chose the right drink because it really boosted my mood. Thanks!!"
0,"A place that calls it self CHICAGO MEATPACKER and just offers 3 american beers (and 3 standard beers at that) seems like a rip off wrapped up in an US theme to me.Haven't had food there, because the beer experience was enough already."
1,"Meh. If you're single and looking to mingle on a Thursday, Friday, or Saturday night, Sausalitos might be a good place to start. Their drink menu is pretty impressive, but I found the Mexican food subpar. Not worth the money, in my opinion. On the weekends it feels much more like a club than a restaurant. I'd go again with friends for drinks, but I won't be paying for a meal again."
4,"I was in a rush and wanted to grab a quick takeaway for the train. The staff here was professional and helpful (in both English and German), and my Pho was done in 5 minutes! Everything nicely packed, very tasty, and proportion was perfect for the containers. Can't wait to eat in next time!"
3,"Cute place for a brunch in summer.Outdoor seatings however arent the most comfortable. The crowd is made of families, groups of friends, couples, business meetings. The brunch buffet doesn't offer a very wide choice, however it has the basics: cheese, salami, bread, eggs, müsli .."
3,"I was rather impressed with the bartender at this place. He was incredibly fast while giving each drink great attention and care. The waitresses working the tiny floor are also super-attentive and friendly, which is totally unexpected for a bar (or maybe I'm just overly accustomed to the I'm-too-hipster-for-you attitude of SF bars).Drinks were really good and reasonably priced. I'm not sure I agree with the current €€€ price attribute for this place. Having gone to IMARA across the street before coming here, drinks were way better priced at The Boilerman.Space is pretty tight. I imagine it's a bit better in the summer when they can make use of their front outdoor area. If you're standing in front of the bar, you'll have a constant flow of traffic from people going to the restroom. On the other hand, watching the bartender work is kind of mesmerizing.Smoking is allowed inside, so you'll walk out smelling like you slept in a tobacco factory. You may also shave off 5 years of your life. I'm hoping that eventually changes but people do love smoking here.On a Saturday night, it was packed and pretty loud. You'll definitely need to shout to be heard by anyone other than the person right next to you. Music isn't too loud, though, so that's a plus.Drink menu we got was entirely in English, which is a bit odd since a native German asked for them. The place was heavy on English speakers though, so they may just default to English menus when that happens.If you're in the area, definitely worth checking out."
4,"I agree with Andrew, A meat eaters paradise. I'm surprised to read that no one has reviewed the peppercorn steak special, this steak at a low price of 13.95, come with a salad, green beans and baked potato as well. I ordered it medium rare and it was cooked perfectly! the steak was great, their housemade sour cream made the potato. The salad arrived shortly after our beers. Our server was so kind, always smiling and he read my mind when i was craving more sourcream."
2,"A typical ice cream shop with a pretty large selection of your basic and expected flavors. It was good, but with so much competition in the area (Eishunger, Cellos...), this would probably be my last pick on Mühlenkamp to get a scoop in the future. If they had more interesting flavors or more attractive prices, then I'd come back!"
1,"Kofookoo is very spacious and nicely decorated. I liked the high ceiling and the interesting light fixtures. The menu is all you can eat or you can order al a carte. Just so we can try more dishes, we went for the all you can eat. We came at lunch on a weekend so it was 15.90 per person--honestly rather steep for the quality of food. I had a hankering for sushi so we ordered most of the sushi, especially those with the raw fish. The only decent thing was the sake (salmon). The octopus and squid were super chewy and had no flavor. The tuna maki was a little concerning because the rice around the fish had turned pink. That shouldn't happen unless the fish was dyed, or something. Also all the maki tasted like they was pre-made and left out for awhile. We tried the warm dishes and the tofu was the most tasty so we ordered a second one, but it was cut too thick so the center was not warm at all. The best part about the food was the black sesame ice cream; we ordered two portions and ate it with the fried kokos creme and fried banana. We got the fruit salad and it was melon that had obviously been cut and sitting there for some time.The staff was nice and friendly and the service was good and quick. However, I wouldn't come back."
3,"The place is quite small but beautifully situated and it is serving good fish dishes. The service is very helpful and nice. The owner is a nice and chatty guy. Unfortunately there's no toilet and one must use one in ice cream spot next to it, which is kinda awkward. One must also know that there are few places to sit. Nevertheless place worth visiting."
4,"A M A Z I N G!Other reviewers have all said it. What I can add is that the world now seems way too big... Details, sense of humor and the massive scale of this miniature world can't be missed. Two hours wasn't enough. Go on a weekday and stay for 3+ hours. Make sure you stand at each station long enough for the daylight / nighttime transitions to occur."
4,"Found this restaurant through Yelp. The reviews convinced us to try it and  I'm glad we did.  This very small (24-30) seat restaurant serves authentic German cuisine.  The menu was hand written in German so my wife and I couldn't read a thing.  The waiter, who spoke limited English, slowly interpreted everything on the menu for us.I had wild boar, cooked osso buco style. Served with a creamy risotto.  It was outstanding.  My wife had Weiner Schnitzel which was excellent. We had oysters and calamari for apps. 2 glasses of regional wines.  Bill was €72.  I would definitely recommend this restaurant"
2,A regular Starbucks place with nice and interesting interior and a truly nice views of the lake
3,"Friendly staff, knowing what they're talking about.Could be a bit more into having a conversations its you, but hey, we're in Hamburg after all, not California or Portland, Oregon.Speaking off:I wish there would be some more exotic brews but then again this is an English (Irish?) pub, so:all goodGood brews, friendly staff - you won't be annoyed getting wasted here."
4,"Fantastic food, friendly staff who always remember a face, and reasonable prices (mid-range but for good portion sizes)! Bin begeistert!!"
4,Great small and cozy place. Love the food and the service. Very nice couple. Details show they care.
3,"Like usual, super Burger and tasty Cocktails.Insiders will always go the roof, great Lounge feelingand super View to the Elbe River.(Good Weather Only)Side Area of the Roof is Rain- and Wind protected.Don't miss it for a Tour through Hamburg."
2,Good cocktails. good food. happy hour. service could be better.
4,"Went there with my boyfriend for our first night in Hamburg! Both of us started with a soup and then we had the seitan-Gyros plate which was delicious! The waiter was really nice too! For two soups, two gyros and a bottle of water we paid 53€, which is a bit on the pricier side but I would still highly recommend it!"
3,"Came here last night as we were showing some visiting family the Hafen City area and some great views of the harbour area.I have walked past a few times but not tried it here. So we tried it!All in all, a very nice Thai food experience. Nice and polite service in English and/or German, no fuss when we asked for simple non-spicy food (chicken noodle stir fry) for the children and then on opting for the 3 smaller set tasting menus (one each of A, B & C) for EUR33 got a wonderful mix of truly delicious authentic food.Only downside was the cost, but I guess in this part of town ( yuppie flats, business expense lunches and cruise ship tourists) it is what it is plus the food really is very good here.So for 3 set meals, 2 childrens meals, 5 drinks + service = not much change from EUR200 !!So all in all, very nice for a special family treat (but just not that often)"
4,"This delicious Turkish lunch spot has to be one of my favorite, if not my favorite lunches in Hamburg. During the lunch hour (12:30 ownward) the line goes far out the door, so I recommend going early. From there, get your favorite kebab fillings. Other notables are the hot food bar and unlimited bread you can get while waiting in line.The all-German, very lengthy menu is a little tricky, but the good news is everything is delicious so you really can't go wrong.Cash only, so definitely don't show up waving your Visa around."
4,"Went here for breakfast on a Sunday...delicious eggs with Krabben (little shrimp from the North Sea), good croissants and brötchen, top notch butter and marmalade, good coffee, excellent service. Sweet little place with tables outside, but not too many."
4,"This is my new favorite burger place in Hamburg. It has claimed the number one spot over two other great burger places. Their burgers are a nice size, but don't leave you feeling bloated when you finish. Their fries are perfectly cooked. Their beverages are also great. The service staff is attentive and very quick. All in all I would say this place is a must go. If you love burgers and either love in Hamburg or are planning to visit Hamburg, this is the place for you. We've been here a couple of times, and this place is yet to disappoint. The Mr. T burger isy personal favorite choice. Can't go wrong with that."
3,"Whether or not 20up is your kind of scene it's worth it to come and check out the view at least once while you're in Hamburg. Floor to ceiling windows give a breathtaking view of the Hamburg harbor. When we came it was really crowded and we had to hover to get a table, but once we sat down it was really nice. The drinks here are strong and pricey, about 9-16 euros per drink.  The dress code is business casual and the crowd is a bit more on the mature side. I would put this on the beginning of your itinerary to grab a drink and tick off your list, then walk over to the bars to fill up the rest of your drinking tank. :)"
2,"Surprise to find this place. Food are not bad,  but not surprisingly good anyway. Very friend staff, we really enjoyed it. We like the duck and dim sum which are very good. The beef rice noodle are so so, could be worse. The owner seems well connected so he has many pictures with famous politicians."
4,"I've had the Miniatur Wunderland as a bookmark for close to ten years. I made the specific trip to Hamburg to visit it today. And it was totally worth it. Absolutely incredible, it exceeded my expectations.Picture a table-top miniature train set. Now expand it to the size of a warehouse. On two floors. And add hundreds of trains, thousands of vehicles, millions of little people. Everywhere you look, there's some interesting little detail. I spotted a dozen monks working on repairing the Popemobile. A guy operating a jackhammer that would bounce around. Two people hiding on a roof that were fighting.The cars stop at lights. They even have their turn signals blinking before the light turns green and they head off on whatever mission they're programmed for.The airport? Absolutely beyond anything you can imagine. The planes take off and land. They taxi up to gates. The mini jetbridge pops out! The ground crew vehicles all follow the proper procedures for driving around the airport. They even have a fire brigade that leaves the firehouse to follow inbound trains.Tips: Get there as early as you can because it does get crowded. Make sure your phone is charged as you're going to want to take a million pictures and a ton of video. They do have a free wifi.This was one of the highlights of my week-long trip to Europe.[Review 12057 overall, 1840 of 2019.]"
4,"My husband and I had such an amazing meal here a few nights ago. We are big fans of Lebanese food and this place took the cuisine to a totally new place for us. The staff was friendly and nice as could be...so very welcoming! And the food!!!! Best falafel ever! Delicous assortment of mezze, each one looked and tasted so yummy. My eggplant main was the dish of my dreams and my husband had the duck with fig carpaccio and loved all of the different flavors, especially the cinnamon rice with roasted cashews on the side. Were the shotglasses filled with chilled anise flavoured liquor terrific? Yes indeed! Was the mint sorbet and the panna cotta the best way to end a fantastic meal? Absolutely!"
3,"A lovely place to spend a summer's day. Swim, sunbathe, take a boat trip, visit the planetarium or sit in Schumacher's beer garden. Also a concert venue. nice for outdoor concerts although they have to finish by 10pm."
3,Amazing views of the Alster while sitting down on a fun lounge chair. They even provide you with blankets so it feels nice and cozy like you are at home. The view is fantastic! They have a nice drink selection but not sure how the food is! I would recommend this place for drinks and just hanging out.
1,"Update: I'm going to have to mark Jim Burritos down a bit because they keep on disappointing. The food is generally still pretty good, although my last burrito was burnt from being left in the toaster far too long. I feel bad saying bad things about the place, but I think one member of staff in particular is rather dozy. She seems to have no idea who ordered what first. If she's on, you can walk in and order your food and then watch as streams of people who came in much later get their food first. Then when your food finally arrives (I have waited 90 minutes) you could very well be given the wrong order. I took two friends last week. We were the only people without food when we ordered, so I expected the three burritos to come quite fast, say in about 15 minutes. 45 minutes later, after watching plenty of other tables receive their food, we finally got ours. Mine was burnt. My friend was given a spicy one, when she'd ordered non-spicy. After a small complaint she was offered some extra sour cream. Instead of bringing it over, the staff went outside for a cigarette break. The sour cream never came and when we went to pay they had the nerve to overcharge us! Sigh. I still like Jim Burritos, and will continue to go, but I won't take visitors anymore, and I certainly will never go back on a Friday/Saturday/Sunday - they are just too slow.Old review: Pretty damn good burrito shop where the old Hatari cantina used to reside. We popped into Jim Burrito's last night - you've gotta try the new places, right? I got a beef burrito with guacamole for EUR6.50 (EUR5.50 without the guacamole). Their burritos come wrapped in tin foil, and so can be a bit of a pain to eat - I'd rather be given the option to have it straight onto a plate without all the foil. Anyway, the burrito was great."
4,"Had some really good chicken wantan with a sweet chili sauce and then an excellent Panäng Gai (chicken red curry), Number 90. Very quick and friendly service. Handy location near Kampnagel. Will have to try some Vietnamese dishes next time. Can definitely recommend."
2,The 'Erste Liebe Bar' is a well designed modern coffee place in a great location. Away from traffic and noise. The interior is clean and modern with large bar and friendly staff. The breakfast menu is not huge but they have brilliant coffee and fresh juices. All in all a nice place with a pleasant atmosphere.
0,"As group of 3, made is wait about an hour for course number 2. Reacted very unfriendly and harsh when called out. Food is good though..."
4,Great location! I was there for the first time and the coffee is very delicious! Nice staff!
4,"When the sun is shining, this is the place to be! The associates are fun and relaxed but still focus on service and remain spontaneous.It is a little bit high prices... though sometimes life is to enjoy it!!!"
3,"Reliable old standby for me in Hamburg, as I find myself there at least once a year.  Excellent menu, nicely prepared & presented.  In St. Georg, which has a Villagey, Bleecker/Christopher feel. Decor & atmosphere remind me a bit of Odeon back home in NY."
4,I was there by accident. A friend was just showing me around in his neighbourhood. We were having a cheap but excellent coffee there. .....Mister Lars Herden was just roasting some coffee beans and started to explain the manufacturing process to us...He took quite some time to make us understand the difference between normal industrial coffee and his excellent product...I will definitely come back. Love this authentic wonderful place ;)
4,"As the rest of the reviewer have already pointed out, Speicherstadt is simply a must see when visiting Hamburg. And now when Hafen City with its contemporary architecture is being developed and parts already finished, the neighbouring Speicherstadt makes a beautiful contrast with its red brick facades and green copper roofs. In 2003 Speicherstadt was removed from the Free Port and since then it also houses museums, cafés, shops and offices along with stocking tea, spices, coffe, persian rugs and the rest of the warehouse goods it is famour for."
3,"Nice location, stick to details and definitely worth to visit. I think the entrance is all little bit high, but at he end of the day, u should visit it, when u are in Hamburg"
4,"You like tabletop gaming and mead? This is the place for you!A wonderful little basement bar that's full of cliches and atmosphere. From the medieval style kitsch decor to the barrells full of games (literally! the barrells have latched doors and when you open them, boom, plethora of tabletop games inside) this is a theme bar not to be missed!Bring a few friends, grab a table and a board game and enjoy a mead or two. Or come on your own and make new friends! Several of their games have English versions as well and they have Wasabi, which is a quick dice game with instructions in fifteen or so languages. It does get quite crowded on weekends and evenings, but go and have a look anyway, you might be lucky and grab a nice spot. Definitely one of my faves in the city."
